Generic node info per pod:
	Node:bramega380.internal.domain - Has no CPU requests for Pod:argo-events-controller-manager-7dd45798b7-smtqh | Container:controller-manager
	Node:bramega380.internal.domain - Has no Memory requests for Pod:argo-events-controller-manager-7dd45798b7-smtqh | Container:controller-manager
	Node:bramega350.internal.domain - Has no CPU requests for Pod:argo-workflows-server-5748f45bc7-tl8jx | Container:argo-server
	Node:bramega350.internal.domain - Has no Memory requests for Pod:argo-workflows-server-5748f45bc7-tl8jx | Container:argo-server
	Node:bramega380.internal.domain - Has no CPU requests for Pod:argo-workflows-workflow-controller-6b996f7c4b-8dsd5 | Container:controller
	Node:bramega380.internal.domain - Has no Memory requests for Pod:argo-workflows-workflow-controller-6b996f7c4b-8dsd5 | Container:controller
	Node:bramega350.internal.domain - Has no CPU requests for Pod:argocd-applicationset-controller-7f87d6c64f-f7qjl | Container:applicationset-controller
	Node:bramega350.internal.domain - Has no Memory requests for Pod:argocd-applicationset-controller-7f87d6c64f-f7qjl | Container:applicationset-controller
	Node:bramega340.internal.domain - Has no CPU requests for Pod:argocd-dex-server-bbb9588d5-4rrkb | Container:dex-server
	Node:bramega340.internal.domain - Has no Memory requests for Pod:argocd-dex-server-bbb9588d5-4rrkb | Container:dex-server
	Node:bramega350.internal.domain - Has no CPU requests for Pod:argocd-notifications-controller-576cbbf696-8wq4t | Container:notifications-controller
	Node:bramega350.internal.domain - Has no Memory requests for Pod:argocd-notifications-controller-576cbbf696-8wq4t | Container:notifications-controller
	Node:bramega350.internal.domain - Has no CPU requests for Pod:argocd-redis-6bdb46bd6-fjqvx | Container:redis
	Node:bramega350.internal.domain - Has no Memory requests for Pod:argocd-redis-6bdb46bd6-fjqvx | Container:redis
	Node:bramega340.internal.domain - Has no CPU requests for Pod:argocd-server-5dcc5b6d8-s4mpx | Container:server
	Node:bramega340.internal.domain - Has no Memory requests for Pod:argocd-server-5dcc5b6d8-s4mpx | Container:server
	Node:bramega330.internal.domain - Has no CPU requests for Pod:calico-kube-controllers-586477cbb8-gnkbm | Container:calico-kube-controllers
	Node:bramega330.internal.domain - Has no Memory requests for Pod:calico-kube-controllers-586477cbb8-gnkbm | Container:calico-kube-controllers
	Node:bramega330.internal.domain - Has no CPU requests for Pod:calico-node-4mpw7 | Container:calico-node
	Node:bramega330.internal.domain - Has no Memory requests for Pod:calico-node-4mpw7 | Container:calico-node
