Service name, Count, Version, CPU request, CPU limit, Memory request, Memory limit, JVM heap
ms-wallet,2,10.X.X.X,500m,1,2Gi,2Gi," -Xms1400m -Xmx1400m"
pop-admin,1,10.X.X.X,2,2,5Gi,5Gi," -Xms4096m -Xmx4096m"
pop-gc-logs-collector,32,0.0.3,20m,200m,128Mi,512Mi," "
pop-cms,1,10.X.X.X,1,1,2Gi,2Gi," -Xms1536m -Xmx1536m"
pop-config-server,2,10.X.X.X,500m,500m,1Gi,1Gi," -Xms750m -Xmx750m"
pop-dgh-adapter,2,2.1.8,500m,1,2Gi,2Gi," -Xms1536m -Xmx1536m"
pop-gcs,2,10.X.X.X,500m,500m,1536Mi,1536Mi," -Xms3072Mi -Xmx3072Mi"
pop-greentube,2,10.X.X.X,1,2,3Gi,3Gi," -Xms2048m -Xmx2048m"
pop-launcher,2,10.X.X.X,1,2,4Gi,4Gi," -Xms1536m -Xmx1536m"
pop-mp,2,23.9.6,2,2,4Gi,4Gi," -Xms3512m -Xmx3512m"
pop-perfmock,2,b2f40ae,1,1,256Mi,1Gi," "
pop-png,2,10.X.X.X,1,2,3Gi,3Gi," -Xms2048m -Xmx2048m"
pop-push,5,10.X.X.X,2,4,3Gi,3Gi," -Xms2048m -Xmx2048m"
pop-router,4,10.X.X.X,8,8,11Gi,11Gi," -Xms8g -Xmx8g"
pop-sg,2,10.X.X.X,500m,1,1Gi,1Gi," -Xms512m -Xmx512m"
pop-system,2,10.X.X.X,500m,500m,1Gi,1Gi," -Xms512m -Xmx512m"
pop-wallet,12,10.X.X.X,2,4,4Gi,4Gi," -Xms3072m -Xmx3072m"
